review,positive
one day we didnt have any cold water running from the tap for about an hour.,False
it has a very nice interior design and has many interesting aspects.,True
Pretty much nothing,False
Superb room and hotel. Excellent shower,True
"Well, there were a few things:  - we have established via message a breakfast fee and the response was that the change has been made in the system, but this didn't happen. The staff were like, sorry, but we cannot see anything here, although I've showed the messages on my phone. Ok then, charge us with the normal price.  - ar the check-in, a green option was offered to us, for the entire stay, not to change to towels, the bedsheet, no cleaning from the cleaning lady. And we said ok, but when we asked for an extra toilet paper, the cleaning lady refused to give one to us :);  - there are no slippers offered;  - the soap from the room was almost gone, and as the green option was ""activated"", no chance to be filled with soap.",False
"The big room, all is controlled remotely, with an iPad, very clean and comfortable, surprinsgly setup for shower/wc, interesting and very chic.  Breakfast is also a plus.",True
"No sauna,no gym this is a minus! No reception only a self check in,which take to much time!",False
"New designed rooms,amazing atmosphere inside, iPad to Control lights,tv,windows and music equipment made by Marshall!  Big bathroom with great View for the City. Walking distance 5min from metro station! 10min from City center. If you go green you get free drink!",True
The view.,False
The hotel in general.,True
breakfast,False
room,True
Toilet rolls and coffee pods didn't get replenished each day and dirty mugs didn't get taken away.  Could've done with an extra pillow and the shower had a slight sewage smell when not in use.,False
"Facilities were clean, easy to use and the bed was very comfy.",True
"So, the shower looked amazing, however there was no hot water. I didn't appreciate having to take a lukewarm shower in such a beautiful shower area, this was the biggest letdown to me.",False
"I loved almost everything about the place. So modern and trendy. I have never stayed at a hotel so lux. I was very impressed. I enjoyed the tea area directly outside my room (410). Also, there was an ironing board in this area. The location was great too, just a short metro ride into the centre. Amazing views of the trains going by (I like trains).",True
"Great room, comfy bed and big table.",True
There was a lot of noise un the morning because of the works around the hotel.,True
"Hotel je prelep, sav namestaj je nov, soba je velika, cista, moderna, hotel je kod metro stanice tako da je lako doci do centra. Sve je bilo super",True
nothing,False
everything was run threw an iPad,True
shower area not enclosed from bedroom,False
great location close to train station   very clean and nicely designed,True
"no possibility to open the window, it's hard to breathe in the room",False
beautiful interior design and helpful staff,True
"could hear other rooms playing music very loud, could hear noisy guests in the hallways and no room service",False
clean and bright,True
Nothing.,False
Breakfast was lovely and bread was delicious. The room was quirky and loved the black out windows.,True
I would have preferred if staff came straight up to you when you sat down in the bar area and offered drinks or food. Had to always ask.,False
"It was great that you could just do self check in and self check out, rooms had smart tech, was so handy that you could operate with iPad the lights, tv, curtains. And Shower was incredible.",True
"Really clean, spacious rooms. Everything you need.",True
Nothing - only slight downside was location as it was slightly out of town and the metro only ran till 12.30am. However the hotel was so nice it made up for it!,False
Really modern and you can tell it was new. Modern and comfortable. Staff were really helpful and loved the speakers available in the room. Beds are amazing!!,True
"It was exceptional, will definitely be returning and I would recommend this hotel to everyone!",True
:),False
:),True
"But one thing to keep in mind is, this is rather a hotel where you just want to get in and out without much interaction with anybody which was fine for my stay. People who stay here tend to be younger and mid-age. If you aren’t so tech savvy or miss interaction with a traditional style reception look somewhere else.",False
"Great location, nice modern rooms, self check-in. It’s a modern concept of a hotel. I have no complaints about my stay here.   Came here to visit Amsterdam and the Europa League Game in football between Ajax Amsterdam vs 1.FC Union Berlin. Central Station and the football Stadium Johan Cruijff Arena are both reachable in 10 minutes from the nearby Metro. Eisern!",True
"Great place to stay, the WOW room was fantastic.",True
"Everything was fine, I have nothing to complain. It was perfect, would stay again anytime.",False
"The hotel is great value for the money. It is around 10 min with metro to city center, but really close to the metro station so it was not a problem at all going to the city center and to the train station. I stayed for 3 night on a business trip, but would definitely stay again if I would go to Amsterdam again. The staff is very nice and helpful. The check in and check out easy. For the check in it was good that some staff member was there because you have to write the name as it appears in their system, and though it said last name on the tablet, in their system appeared one of my first names (which I don't even use :) and wouldn't let me check in. If no one were there would have been impossible to figure that one out. But the staff's was great. Didn't take breakfasts, or any meal there, so for food don't know how it is. Also received a voucher for a free drink at check in, which was nice of them, didn't use it because I didn't have time. The room is clean, the bed really comfortable and the pillows were bigger that at other hotels, which for me was a plus. Was happy I chose this hotel and definitely would recommend, even if it's a bit further that the center. Also was very quite and I wasn't bothered by any noise and could work and sleep in peace. You get shampoo, soap, conditioner and lotion, but not a bathrobe, or slippers, so keep this in mind. Didn't bother me that much, just wished I took some from home :)",True
pillows,True
was abit far out but only like 6 minutes metro to the centre so was actually grand,False
the proper was nice and spacious in the loft rooms would deffo recommend,True
Nothing,False
The bedroom itself was extremely comfortable and luxurious looking  The breakfast was also great   The position was very good because even if it was not in the city centre it has a very close by metro station and you can get to the centre in less than 15 mins,True
We heard the elevators go up and down every time in our room which was a bit annoying,False
Very comfy and luxuriously decorated room.,True
there wasn’t one thing I could fault about the Ruby Emma!,False
"it was stunning - from the incredible smart TV to the black out shutters you could control yourself, this hotel was like something from the future. The check-in and the check-out was so easy, all hotels should be taking notes on what the Ruby Emma does best!",True
"The room was lovely, we also loved the green approach, staff were very pleasant and helpful",True
As always the room was fantastic and the staff was welcomed and very friendly,True
"Staff not very welcoming, don't seem very happy to be there   Looked like most of staff was doing a student job rather than hotel industry professional   Breakfast expensive for a very limited choice (not hot food available at all)  No slippers in the room (available in a vending machine)  No mineral water in the room (available in a vending machine)",False
"Beautifully designed room, everything can be controlled using an iPad on the bedside table",True
