review,positive
"After reading some reviews, i was a bit scared but we finally had a really great experience!!!! The hotel is located at 15 minutes by bus or tram from the city center. Very easy to go with the bus 21. Our room was lovely, looking beautiful with comfortable bedding. The bathroom was so nice. The employees were very nice and helpful with us, answering our questions and guiding us. In general the hotel is very clean, modern and the staff is friendly. * there is a luggage room to can leave the suitcases during the day before and after check out.",True
"no proper sheet provided for double bed. Front desk disobliging and when on our second night with the bed in this state the double sheets finally arrived at reception, we were told that we would have to make the bed ourselves as the receptionist was not a housekeeper! No compensation offered at all. AVOUD AT ALL COSTS",False
"Positives: The hotel was clean and tidy, no clutter or mess. Shower was great in the en-suite, large shower head. Coffee machine in room was great, could have done with more coffee pods than one a day but otherwise was good. Modern room. It was a pleasant hotel, we felt safe and the room was adequate Good transport routes into city centre (average 30 min travel time) NEGATIVES: Booked a double room and received two twin beds. Informed they only give doubles to those who book directly with them, if you're booking with booking.com you will receive two twin beds. Requested a double duvet, told they didn't have any spares and wouldn't be possible. MATTRESS WAS VERY UNCOMFORTABLE. Only given one square pillow on each bed requested an additional pillow and was told it would be",False
Hotel advertises tea and coffee making facilities in the rooms. There was none in our room. When we asked the person on reception we told it was broken and there were no spares so they could do nothing. Would not even boil a kettle for us. Completely impolite and unsympathetic towards guests who are tired and travelled a long way.,False
"I would not recommend this company as had a bad experince this weekend, had troulbe booking ino hotel took us 40 mins as the hotel said there was no names on the booking just the person whos henparty it was, was told to ring the company to which was shut. We booked a bar crawl for the friday night to meet 2 chaperones to take us round 4-5 bars with shots at every bar which was stated which we did not receive, the 2 guys that turned up was very scruffy dressed with very bad hygeine , ine of them even turnrd up with a poundkand bag, and did not have a clue where we was going and had us walking round fir ages even got lost. They was very disrespectful with the younger with tuungs they was talking about, we got to the 3rd bat to which the olser could not get in as we did not have Id",False
I stay here regularly. I find it the best hotel of its kind in amsterdam. Spacious rooms wonderfull rain shower. Coffeemachine with great coffee and ad a comfy bed. They go far further with what you expect of a 3 star hotel. The staff is exceptionally friendly and offer great service. I would stay here any time,True
Hotel was really clean and located in a really nice area staff were friendly and couldnt do enough for us short bus ride to the centre of Amsterdam. The hotel was refurbished recently and the kitchen was closed due to being refurbished. The only dowbside i would say was no spoon in the room so cant stir your coffee. Would definitely visit again.,True
"I managed to get a very favourable price for this hotel for a couple of nights. I have to admit, for the price and the looks of the outside, I didn't have very high hopes... However... I guess you shouldn't judge a book by its cover, as the hotel was extremely clean, and certainly more larger than I had realised, as the rooms obviously float over the lower shops around both corners of the building. The staff were very friendly and spoke excellent English. The rooms were well equipped with a decent pod coffee maker [that also did tea :-) ]. There was a 40"" TV, the beds were comfy, there was a phone, a decent array of mains sockets and also wall mounted USB charges! The bathroom was extremely clean, with a lovely large soaker and shower wand with plenty of pressure behind both.",True
Amazing hotel room very clean and fresh! Great having tram/bus stop right outside. Lovely restaurants near by. Was worried after reading others reviews but im so happy i didn’t let it put me off. Definitely be back again.,True
"Great location to travel to and from airport and Central Amsterdam, bus stop just outside. Not so clean outside hotel or surrounding but inside hotel is clean, comfortable and Modern. Great location for food too",True
